from,to,n,mean,median,q1,q3,iqr
GENERAL MEDICINE CONSULTATION,GENERAL MEDICINE CONSULTATION,2,48.3,48.3,33.1,63.5,30.4
SPECIALIST MEDICAL CONSULTATION,PSYCHOLOGY,2,40.5,40.5,25.9,55.1,29.2
SYSTEMIC TREATMENT,GENERAL MEDICINE CONSULTATION,3,34.6,17.1,9.4,51.1,41.6
NON-MEDICAL CARE,SURGERY,4,27.3,18.3,11.9,33.7,21.9
PSYCHOLOGY,RADIOTHERAPY COMMITTEE,2,27.2,27.2,21.2,33.2,12.0
SYSTEMIC TREATMENT,PROCEDURES,2,27.2,27.2,16.3,38.0,21.7
GENERAL MEDICINE CONSULTATION,SPECIALIST MEDICAL CONSULTATION,13,26.3,18.7,7.5,37.0,29.5
PSYCHOLOGY,NON-MEDICAL CARE,10,23.9,20.4,12.3,34.7,22.4
ONCOLOGY CONSULTATION,SPECIALIST MEDICAL CONSULTATION,15,23.3,23.3,6.5,38.5,32.0
ONCOLOGY CONSULTATION,ONCOLOGY COMMITTEE,28,22.1,14.3,7.9,24.0,16.2
ONCOLOGY CONSULTATION,PSYCHOLOGY,2,21.9,21.9,13.5,30.2,16.8
GENERAL MEDICINE CONSULTATION,SYSTEMIC TREATMENT,4,21.5,21.4,21.4,21.5,0.1
NON-MEDICAL CARE,SYSTEMIC TREATMENT,13,21.5,21.5,21.5,21.6,0.1
PSYCHOLOGY,SYSTEMIC TREATMENT,7,21.5,21.5,21.5,21.6,0.2
SYSTEMIC TREATMENT,SYSTEMIC TREATMENT,70,21.5,21.5,21.4,21.6,0.2
NURSING CARE,SYSTEMIC TREATMENT,63,21.5,21.5,21.4,21.6,0.2
ONCOLOGY COMMITTEE,SYSTEMIC TREATMENT,9,21.5,21.5,21.4,21.5,0.1
EMERGENCY CARE,SYSTEMIC TREATMENT,2,21.4,21.4,21.4,21.4,0.0
ONCOLOGY COMMITTEE,NON-MEDICAL CARE,9,21.0,7.4,1.9,12.1,10.2
ONCOLOGY COMMITTEE,PSYCHOLOGY,18,20.8,17.1,4.7,24.3,19.5
SYSTEMIC TREATMENT,NURSING CARE,90,20.5,15.0,6.7,29.0,22.3
SURGERY,NURSING CARE,9,19.9,14.9,9.4,29.1,19.7
GENERAL MEDICINE CONSULTATION,NURSING CARE,2,19.0,19.0,16.9,21.1,4.1
PSYCHOLOGY,SURGERY,3,19.0,25.9,14.5,27.0,12.5
GENERAL MEDICINE CONSULTATION,ONCOLOGY CONSULTATION,2,18.6,18.6,10.3,27.0,16.7
RADIOTHERAPY COMMITTEE,NURSING CARE,7,18.6,15.7,12.0,21.5,9.5
SPECIALIST MEDICAL CONSULTATION,ONCOLOGY CONSULTATION,26,18.5,14.8,8.8,27.5,18.7
SPECIALIST MEDICAL CONSULTATION,EMERGENCY CARE,2,18.1,18.1,14.6,21.5,7.0
PROCEDURES,ONCOLOGY CONSULTATION,2,17.2,17.2,16.1,18.3,2.2
NURSING CARE,NURSING CARE,14,17.0,12.8,8.1,23.6,15.5
SPECIALIST MEDICAL CONSULTATION,ONCOLOGY COMMITTEE,14,16.4,14.0,9.2,25.0,15.9
NON-MEDICAL CARE,RADIOTHERAPY COMMITTEE,4,16.3,14.9,5.8,25.4,19.6
ONCOLOGY CONSULTATION,ONCOLOGY CONSULTATION,22,15.4,11.3,8.0,19.8,11.8
ONCOLOGY COMMITTEE,SURGERY,2,12.8,12.8,8.0,17.7,9.6
SPECIALIST MEDICAL CONSULTATION,PROCEDURES,3,11.8,11.1,8.8,14.4,5.6
SPECIALIST MEDICAL CONSULTATION,SPECIALIST MEDICAL CONSULTATION,31,11.3,8.0,4.5,14.5,9.9
SPECIALIST MEDICAL CONSULTATION,GENERAL MEDICINE CONSULTATION,3,9.7,7.5,6.1,12.2,6.1
NURSING CARE,HOSPITAL DISCHARGE,2,7.2,7.2,7.0,7.4,0.4
ONCOLOGY COMMITTEE,RADIOTHERAPY COMMITTEE,4,5.1,5.0,4.0,6.1,2.2
